,LYZ,GNB4,LOXL2,COL6A2,ADAMTS1,SDC2
ACH-001113,0.0,4.448900951145128,2.6415460290875235,4.28318097894557,2.263034405833794,4.592756010441026
ACH-001289,0.0,3.8308637567517576,1.1043366598147355,3.1243281350022016,3.9671686075326282,8.35974956032233
ACH-001339,2.3362833878644325,4.657640005207824,5.904484097901423,4.269781238274379,4.84799690655495,6.312701472795798
ACH-001538,0.0426443374084937,0.0565835283663675,4.149747119504682,0.0565835283663675,0.1243281350022017,0.3219280948873623
ACH-000242,0.7907720378619999,0.5655971758542251,0.1890338243900171,0.1763227726404629,5.168722254360656,5.624685810525398
ACH-000708,8.486915448313036,0.2265085298086797,0.9486008474933558,0.7484612330040357,0.5849625007211562,0.4114262457264651
ACH-000327,0.3785116232537298,2.903038270112912,0.4005379295837288,0.4854268271702416,1.1176950426697545,3.7718855785153664
ACH-000233,0.2016338611696504,3.2971914165658562,0.9708536543404837,0.3334237337251918,0.1505596765753814,0.2630344058337938
ACH-000461,5.570159301636119,0.0426443374084937,0.5459683691052926,0.3785116232537298,0.0840642647884745,0.2750070474998698
ACH-000705,0.137503523749935,1.752748591407134,1.3103401206121503,2.1667154449664223,2.4329594072761065,4.5963388642052
ACH-001794,1.1826922975161902,4.620586410451877,8.86086970974825,9.899372029598373,6.655065551195028,4.1259816538547165
ACH-002023,6.6458745503090295,0.0426443374084937,3.662205499653616,0.0,0.0426443374084937,0.0
ACH-000528,0.5849625007211562,4.638653116466112,1.372952097911829,0.3334237337251918,2.9616233282869446,5.267910280884825
ACH-001655,0.0426443374084937,2.6438561897747253,7.119563684417363,7.673061684718365,4.5496691707264905,7.2299723851122515
ACH-000167,1.7398481026993275,0.2387868595871164,0.2986583155645151,0.137503523749935,0.0840642647884745,0.070389327891398
ACH-000792,0.2387868595871164,3.5360529002402097,9.086693552429294,10.240552850461953,6.954079959320972,5.567423757707283
ACH-001098,3.5837597536394985,0.6135316529179271,2.776103988073164,0.0,0.9335726382610241,0.0
ACH-000570,1.5008020530571575,3.9900472195737935,6.523561956057013,7.855616022786844,3.0531113364595623,7.83586092970722
ACH-000351,0.3448284969974411,0.7136958148433591,7.446504378565613,7.9573922930552445,0.4114262457264651,7.766860143829545
ACH-000769,1.8114710305298358,2.5185351389821804,0.8237493603082727,1.5360529002402097,2.8659188145522125,4.280956313831056
ACH-000154,0.6599245584023783,4.595145567990858,7.031549586028037,9.279401647897377,8.5412515273051,6.648033950563835
ACH-000828,0.3895668117627256,2.8196681834964554,0.7907720378619999,0.3448284969974411,0.137503523749935,2.0461417816447205
ACH-000421,0.6959938131099002,0.5260688116675876,1.4854268271702415,4.663913842115979,1.3785116232537298,0.5945485495503542
ACH-000765,0.8073549220576041,4.423578170981798,5.8654239783131334,4.551516017628013,5.334139178838238,6.039577103060679
ACH-001375,0.0285691521967709,2.2141248053528475,1.0,3.9827654625836466,1.1826922975161902,0.632268215499513
ACH-000008,3.229587922740652,4.169123281476757,7.296182057615491,5.561631630375841,5.068240861312821,6.173926931999809
ACH-001814,0.0565835283663675,4.455491620628468,8.691534164919199,10.1399349968741,6.055282435501191,6.412273444670824
ACH-000800,1.3950627995175775,4.815575428862574,2.1210154009613658,0.3103401206121505,2.790772037862,4.157852169141736
ACH-000606,1.2326607567902748,3.502075956045791,5.339137384919585,0.5058909297299572,2.381283372503784,0.7990873060740036
ACH-000317,0.4114262457264651,3.324810603420484,7.860776615631603,5.681449265314957,4.743622676067655,7.618899347904062
ACH-000123,1.411426245726465,2.7311832415722,4.0565835283663665,3.988230223060457,3.738767836800192,0.7824085649273732
ACH-000723,0.2387868595871164,3.1747259877061333,4.0565835283663665,0.7048719644563528,1.6040713236688608,0.6870606883398922
ACH-002066,2.6644828403646823,5.93922657772821,7.220910321648719,6.404119724396124,5.7742599514327635,4.9818526532897405
ACH-001536,0.3219280948873623,2.424922088210688,4.477029653013066,1.4168397419128294,0.8875252707415875,1.3391373849195856
ACH-000313,0.3673710656485294,3.388189537156084,11.283088353024,5.847495883788709,4.9941271140031285,7.539624121559053
ACH-002019,0.0565835283663675,3.6915341649192,2.1699250014423117,1.0908534304511135,0.4329594072761063,4.698218478224414
ACH-000728,0.3673710656485294,4.501439145158873,2.127633279725874,0.3219280948873623,0.5260688116675876,1.15704371014558
ACH-000700,0.1243281350022017,4.948133577840401,6.060479781407595,6.4467524845665505,0.1505596765753814,6.702934531975977
ACH-000823,0.137503523749935,3.7708290460324903,0.8559896973084807,1.3895668117627256,2.6758159311722696,3.1160319934471103
ACH-000678,0.6507645591169022,3.307428525192248,7.576748863876216,3.438292851579147,0.0,5.218006150284427
ACH-000006,10.8649599151426,4.220329954879555,0.8399595874895318,1.7949356628035362,4.454175893185801,5.199279721336625
ACH-002029,0.0565835283663675,2.5509006646475227,5.6624903639137765,1.6553518286125541,3.8196681834964563,0.1890338243900171
ACH-001377,6.116031993447111,0.0426443374084937,0.1763227726404629,0.0285691521967709,0.5753123306874368,2.1473066987802936
ACH-000754,0.0426443374084937,1.8559896973084808,0.5753123306874368,0.3448284969974411,0.2265085298086797,0.9927684307689242
ACH-000465,1.9818526532897407,3.5096958419333872,0.8875252707415875,5.445925298579273,2.0531113364595623,3.1747259877061333
ACH-000138,5.779259720372377,2.4802651220544627,3.7268312170324935,5.412781525338477,4.2502036564992975,0.3103401206121505
ACH-001864,3.0268000593437154,1.6276068381296498,3.810443103845176,0.8639384504239714,0.9183862344463479,0.5655971758542251
