,feature,factor,value,view
121,WWC3,Factor1,0.252856314463689,mRNA
122,TSPAN17,Factor1,0.0455961478722626,mRNA
123,NOP16,Factor1,0.00310767720413931,mRNA
124,COL9A2,Factor1,0.202926322611699,mRNA
125,ADAMTS6,Factor1,0.337672130562679,mRNA
126,TNFRSF9,Factor1,0.290206621923562,mRNA
127,EPN3,Factor1,0.518429992599195,mRNA
128,LTBP1,Factor1,0.213368604696176,mRNA
129,CLPTM1L,Factor1,0.000460429789461471,mRNA
130,MAPK9,Factor1,0.00411094672421963,mRNA
131,PIK3CB,Factor1,0.00276028092636865,mRNA
132,HEBP2,Factor1,0.0575959666244443,mRNA
133,PRSS8,Factor1,0.525263977405795,mRNA
134,RRP12,Factor1,0.000586229760948368,mRNA
135,ALX4,Factor1,0.420787273264712,mRNA
136,MRTO4,Factor1,0.00189028360329315,mRNA
137,ANAPC4,Factor1,0.00723308227207878,mRNA
138,TRAPPC3,Factor1,0.0435036352197688,mRNA
139,THRAP3,Factor1,0.000985527650688838,mRNA
140,LY75,Factor1,0.551686234180845,mRNA
141,OPN3,Factor1,0.00265842223516229,mRNA
142,HHAT,Factor1,0.270019774757446,mRNA
143,SYNE2,Factor1,0.0602162953109666,mRNA
144,ATP9A,Factor1,0.0847340166828735,mRNA
145,FAM168A,Factor1,0.143584303109652,mRNA
146,NOP58,Factor1,0.0392609664865481,mRNA
147,KCNH2,Factor1,0.473443776854575,mRNA
148,CUL1,Factor1,0.000456271899348092,mRNA
149,USP36,Factor1,0.00471434642232071,mRNA
150,CCDC85A,Factor1,0.262838152214165,mRNA
151,ITIH4,Factor1,0.0285086677032992,mRNA
152,ZNF280C,Factor1,0.0706030617257271,mRNA
153,RC3H2,Factor1,0.0645531060060786,mRNA
154,MSH4,Factor1,0.0217114708858221,mRNA
155,ATP11B,Factor1,0.00294426301062335,mRNA
156,RIOK2,Factor1,0.0404853119297731,mRNA
157,NDC1,Factor1,0.000737634809850406,mRNA
158,YBX3,Factor1,0.00438080767497308,mRNA
159,WNK1,Factor1,0.0782541703711107,mRNA
160,SNRNP40,Factor1,0.00972538505343336,mRNA
161,COL11A1,Factor1,0.209057541996123,mRNA
162,QSER1,Factor1,0.0199673112837298,mRNA
163,SPAG4,Factor1,6.93093925905058e-05,mRNA
164,MRPS35,Factor1,0.137479328092934,mRNA
165,TNK2,Factor1,0.140668615240011,mRNA
166,APPBP2,Factor1,0.0127822472363119,mRNA
167,EIF4B,Factor1,0.0317643182799797,mRNA
168,ISOC2,Factor1,0.00397391165702156,mRNA
169,EPN1,Factor1,0.00438502892163343,mRNA
170,MED29,Factor1,0.000515871531421626,mRNA
171,GPC1,Factor1,0.142881864019309,mRNA
172,HAGH,Factor1,0.00336532641784016,mRNA
173,INTS13,Factor1,0.00141692696728865,mRNA
174,TM7SF3,Factor1,0.0675563059776691,mRNA
175,CCN5,Factor1,0.145157801979822,mRNA
176,CDON,Factor1,0.0252434343998155,mRNA
177,SNX24,Factor1,0.295485965480076,mRNA
178,DDX20,Factor1,0.00108710359058736,mRNA
179,BTBD1,Factor1,0.00199837468831874,mRNA
180,BCAS1,Factor1,0.539022491265006,mRNA
