,LYZ,GNB4,LOXL2,COL6A2,ADAMTS1,SDC2
TCGA-13-1489,-0.356289111776925,-0.823890787697125,-0.341182207181878,-0.10609600299172,0.169497879400328,-0.367905493138257
TCGA-61-2101,-0.291835905937739,-0.723452579932601,-0.204935203921642,3.42410317458029,2.01493785403646,-0.205986991673817
TCGA-61-1900,-0.300427366459129,-0.618065243089826,-0.30685992418566,0.550342000346375,-0.206349670597277,-0.0237383788081692
TCGA-29-1784,0.426637919110106,-0.668138784352139,-0.339165914649427,-0.173428957605043,-0.276286633448944,-0.295356923011105
TCGA-61-1725,-0.315126009760785,-0.752565103922318,-0.325323726589566,0.0405305844665833,-0.293185521124892,-0.366151118042721
TCGA-24-1470,-0.205196719716006,-0.347901020465252,-0.309805070581375,0.187723555016637,0.31262942200505,-0.461609762946868
TCGA-24-1546,-0.182044631323022,-0.634368256524067,0.0778215050392848,2.11965628097543,-0.165120456689089,-0.241693684794719
TCGA-31-1956,0.707085272997101,-0.515006908166228,-0.263974061669593,1.31982340546725,-0.293694523765734,-0.246956810081326
TCGA-13-0913,-0.349526355703863,-0.739173342887049,-0.34233761076789,-0.306595617471173,-0.437131467954961,-0.49318851466651
TCGA-13-1477,-0.352528191307722,-0.783715504591315,-0.319841223299081,0.369032777681506,0.979728283092349,0.586474558833152
TCGA-59-2363,-0.342004514765457,-0.844851804969721,-0.312433047365244,0.829302331359413,0.502894609151725,-0.0635730133303323
TCGA-29-1701,-0.249430665051037,-0.622140996448386,-0.330919504741425,-0.0337988671624727,-0.0303365573941729,-0.376058177405746
TCGA-24-2267,-0.265958012801021,-0.487641135615894,-0.32797435834571,0.0315017716510413,0.244524868660414,-0.480495094857634
TCGA-13-0884,-0.355012469048847,-0.561586946549775,-0.33132729424237,-0.0595526395108637,-0.315072634681091,-0.491640536641038
TCGA-09-2054,-0.34907780555616,-0.576434333784531,-0.299610333057746,0.135549677270737,-0.13325689137239,-0.256657472374288
TCGA-24-2035,-0.199055033078225,-0.675708040589465,-0.318391305073498,1.65259013019653,1.22191173960489,-0.327451667405904
TCGA-29-1711,-0.253364104807818,-0.66289853003399,-0.316125807846025,0.271015186156323,0.545040027813428,-0.37430380231021
TCGA-24-1923,-0.344143753931425,-0.815448155740107,-0.329084451987172,0.391254984869574,0.0424508202462084,-0.193190373329909
TCGA-31-1959,-0.253295097092787,-0.544701682635739,-0.207064771315466,1.25199070106709,-0.279442449822163,-0.144171069189942
TCGA-24-1103,-0.354529415043628,-0.826802040096097,-0.333026417162975,-0.167431960162985,-0.156671012851114,0.340242854247968
TCGA-13-0765,-0.341383445330176,-0.620394245009003,-0.322219995387928,-0.136180940159375,-0.0129286670773824,-0.339319498934528
TCGA-61-1911,-0.269442902410099,-0.631165878885198,-0.343243809658879,-0.278742896018062,-0.325659889610601,-0.507739508105953
TCGA-29-1783,-0.283037422271255,-0.639026260362422,-0.315015714204563,0.768099640797971,0.958757374289665,-0.235708169762892
TCGA-24-1424,-0.265164424078161,-0.648342268039132,-0.288577361559951,1.03656522628741,0.337774152462636,-0.128897686005278
TCGA-57-1582,-0.0882286427380399,-0.78633563175039,-0.300289982225988,0.292304527075627,0.843926378515749,-0.434365349698549
TCGA-09-2051,-0.273031303591724,0.486755042319933,-0.321766895942433,0.312994168250725,-0.278220843484143,-0.165636364476496
TCGA-13-1510,-0.347904674400629,-0.634950507003862,-0.304956906514582,-0.019639289868726,0.874161135381754,-0.382766082182794
TCGA-23-1114,-0.343281157493535,-0.774399496914606,-0.296687841634305,1.42793594268657,1.30477736953394,-0.145822245750446
TCGA-24-1553,-0.0752896961696808,-0.625343374087255,-0.334793505000404,0.266484121422324,0.228338584681644,-0.337977917979119
TCGA-61-1914,-0.130530372052195,-0.724908206132087,-0.32965082629404,0.0068474488336942,1.41309313150508,-0.31620302708747
TCGA-29-1781,0.410593625365341,-0.633203755564479,-0.297163596052075,-0.0270355867139302,-0.293898124822071,-0.368008691673288
TCGA-36-1570,-0.271306110715943,-0.47366712410083,-0.317892895683454,0.0905055631503951,1.45941237182169,-0.356037661609633
TCGA-29-1763,-0.282864902983677,-0.0844326783583138,-0.308762941856737,1.20048315637031,0.816949238551132,-0.23766894192849
TCGA-61-2000,-0.320888153965895,-0.667556533872345,-0.290842858787424,0.659820520316379,-0.40852551953965,-0.405985752564884
TCGA-61-2104,-0.229107892974334,-0.648342268039132,-0.329922685961337,0.191121853567136,0.889227613550672,-0.447471563647551
TCGA-23-1119,-0.336794432280598,-0.768576992116663,-0.335767668808217,-0.0470922114923666,-0.258369740491311,-0.298246481991987
TCGA-31-1944,-0.26895984840488,-0.722870329452807,-0.288781256310424,0.503332203731136,-0.249309493484327,-0.432094981927856
TCGA-25-2398,-0.26343923120238,-0.608166984933322,-0.199067566102486,3.33361514651013,-0.194642609857915,-0.095048566514943
TCGA-29-1710,0.0414023499481607,0.0742305773856437,-0.297480765663921,0.731584589706333,-0.248393288730812,-0.373065419889832
TCGA-61-2097,-0.306603556954426,-0.784880005550904,-0.301060251283328,0.477445164772922,-0.0684099549291416,-0.371311044794296
TCGA-61-2113,-0.247877991462834,-0.538005802118104,-0.23719588444086,3.75423788376555,0.506864829750291,-0.338493910654276
TCGA-59-2355,-0.314228909465379,-0.764792363997999,-0.298273689693536,0.468283085347556,-0.13763431408363,-0.0816327569608466
TCGA-25-1315,-0.345627419804597,-0.595648599617744,-0.315264918899585,0.218408191928497,-0.222230552991542,0.362636936349806
