,LYZ,LOXL2,SDC2,ADAMTS1,COL6A2,GNB4,response
905970,0.11476961594328713,0.08684905790690756,0.12126137106520885,0.16937223975093496,0.08737988155036648,0.11485708654836876,0
909263,0.6714182999315412,0.05620450722768536,0.04532915092024559,0.048378341742977005,0.0965020184263964,0.093050239866662,0
905980,0.03745906448007294,0.49432591504934553,0.025616768941261303,0.5287638648967345,0.026772960695605752,0.2719594860716728,0
909747,0.5530777630436846,0.02784930176232056,0.0,0.06875643310600726,0.025631651793829147,0.09735709872080914,0
1240202,0.03421360738359032,0.09636265751507361,0.06824955976834013,0.1022754080619917,0.09604547120174751,0.07575697912291549,0
724879,0.02881417752784786,0.2698874669015528,0.8073811688622646,0.07482602622536844,0.13811395366649337,0.13242637253353798,0
909907,0.016829033500468327,0.06861071252610146,0.1508870520158532,0.06732852663865502,0.062214568799192266,0.19942703092137884,0
906826,0.024358587905743398,0.6095602433161398,0.15794649754871307,0.6218878245116286,0.08501419481024963,0.3326081864686102,0
905935,0.04133982271027592,0.4253847402466825,0.08119366980099307,0.03340985754145054,0.1842390364878604,0.3198783079063186,0
906805,0.33010294480975577,0.19415468432373864,0.35999114990572406,0.16737327768953766,0.055538619449536905,0.028857254127790027,0
724869,0.9249425188991837,0.11565591184144786,0.04017348944308968,0.1021059273829269,0.07519688358786407,0.1139859939720402,0
908457,0.10508169494960692,0.047912514608401846,0.04907585171145468,0.06529911727575671,0.05826333821386258,0.17010430128639487,0
909907,0.016829033500468327,0.06861071252610146,0.1508870520158532,0.06732852663865502,0.062214568799192266,0.19942703092137884,0
905967,0.048213557416156946,0.13659629510092314,0.17146852403967958,0.304350929064517,0.08945840261295014,0.12640156543693662,0
909974,0.022038933480910003,0.9611267983284164,0.9894856021944476,0.9522891822373082,0.26669915281106565,0.20241949639475287,0
906817,0.029049286587125134,0.33353762481646704,0.04226884180165125,0.05019531872208177,0.02650180893634782,0.10831673488483301,0
753566,0.031696454280552844,0.40781316718970695,0.70830176130448,0.9078613169092721,0.05385665609505086,0.5518681459981358,0
949093,0.026608465672816786,0.07584593741938933,0.3284620294788332,0.7243916123353518,0.07140558273156185,0.3008609376131028,0
905944,0.03503875624048379,0.13506252537434996,0.056764693350791096,0.6581912177887546,0.120924164847932,0.2766757901518215,0
1299062,0.038088791377050506,0.1849327986198882,0.19646912522150756,0.23291075683813972,0.22145860971035763,0.1646901367328027,0
905941,0.030828264303674524,0.7543183121303627,0.367573712829088,0.35229289068134106,0.08998562296579891,0.23471566277026748,0
925346,0.0850744144767696,0.13346887152457795,0.06411251672160029,0.04225889995064469,0.0891468222597465,0.2815287343169015,0
910948,0.03756187413260533,0.035492807495306866,0.05382020487258382,0.5479421943939372,0.08961377604872617,0.11887204023071443,0
1240190,0.031361248658587054,0.044709379231545304,0.26452471106114644,0.0,0.08173582901622756,0.09820904776983397,0
908470,0.030957627124772097,0.8795037149801217,0.48132615209243634,0.4742678277685491,0.08300124068246933,0.08506206791759324,0
909713,0.033616534966401435,0.03477082943562554,0.058802584808261615,0.042901851031895866,0.17679172351553574,0.19812954604579783,0
1240226,0.02436792975754322,0.37093656153635013,0.9502847540218173,0.8709812108294752,0.23770470252061332,0.11687523212052636,0
910702,0.6977733374549028,0.07840753830095556,0.03681269380015151,0.13009667142002626,0.09600197155495947,0.12227903363815834,0
1240162,0.030399922771417676,0.11006149478137126,0.014233585696291517,0.3355404419300655,0.0750430333515422,0.16694581285047191,0
909723,0.09994978895832543,0.010760504427557993,0.33536974006661885,0.22440324439149298,0.2287017646360997,0.19456932623228695,0
910948,0.03756187413260533,0.035492807495306866,0.05382020487258382,0.5479421943939372,0.08961377604872617,0.11887204023071443,0
908461,0.041776552863923795,0.05334571089965043,0.07238138666456156,0.069030575382872,0.06586741758205841,0.13753825523508234,0
1480364,0.17792788611243754,0.07919312253194877,0.060715761361888554,0.5200187361389387,0.05699279089683339,0.30328376666449725,0
908122,0.023981319974175852,0.02564959348888554,0.19218144276577007,0.5422994170380648,0.037285032517320904,0.15598433222949432,0
749717,0.021112872369926636,0.19423865765712828,0.8727478895108227,0.895320455356679,0.09453979684992089,0.36574160236107967,0
905970,0.11476961594328713,0.08684905790690756,0.12126137106520885,0.16937223975093496,0.08737988155036648,0.11485708654836876,0
909263,0.6714182999315412,0.05620450722768536,0.04532915092024559,0.048378341742977005,0.0965020184263964,0.093050239866662,0
